hispanic_M,black_M,asian_M,white_F,hispanic_F,black_F,asian_F,categories,metric,inst_group
-0.04749724240438602,-0.03240705051600279,0.11168527361863889,-0.07986101769390486,-0.08507712534216405,-0.10326146164970473,-0.02523798507616104,not_top,cit_rel_all_IAC,usnr_rank_cat
-0.04597855190423428,-0.022966181842382194,0.039238544165753675,-0.10971009464956516,-0.14516081576668938,-0.1402309461449458,-0.05452040581388473,top_100,cit_rel_all_IAC,usnr_rank_cat
-0.0332748363242612,-0.011683725205000939,0.00916947547761171,-0.17503627835532976,-0.22220220722796813,-0.1786919521659458,-0.09804575427154072,top_10,cit_rel_all_IAC,usnr_rank_cat
-0.1127748742300444,-0.06284273974563936,0.1570677764818793,-0.08560303632111155,-0.028359673040647015,-0.0990134408249167,0.015087608812214492,inclusive,cit_rel_all_IAC,selindex
-0.0372425754929947,-0.02525775538145192,0.07093138312042369,-0.09234518862977936,-0.10164064210613455,-0.11461965151471076,-0.035859182963407954,selective,cit_rel_all_IAC,selindex
-0.04813307787940735,-0.03011169346779019,0.038725346688546214,-0.12862843526456103,-0.17133958599974042,-0.1565573887022279,-0.06307719776650367,more_selective,cit_rel_all_IAC,selindex
-0.04927772638932282,-0.02558406294238591,0.12533170442527708,-0.06995695102930843,-0.0779037696055116,-0.0939233998824448,0.010818969798014555,"(0.1, 1.47)",cit_rel_all_IAC,avg_citations_Q
-0.05782563518862782,-0.01939102103872714,0.017137520637979575,-0.11505866452670144,-0.13258382508295874,-0.13681129607825804,-0.0655466835334102,"(1.48, 1.74)",cit_rel_all_IAC,avg_citations_Q
-0.032926056355946254,-0.016118688763810507,0.0378888079463402,-0.15609594988472175,-0.21481482468634283,-0.17846013994762422,-0.08986117143852379,"(1.77, 4.07)",cit_rel_all_IAC,avg_citations_Q
-0.03992690483393213,-0.03590901200530061,0.20021740187348303,-0.0730925736442124,-0.06439960063484285,-0.08947125880026985,0.05416784928134932,"(0.1, 1.24)",cit_rel_all_IAC,avg_citations_Q10
-0.059549642167683325,0.004592366265662617,0.10140122762854586,-0.05090859069788933,-0.05632032136035081,-0.0754333296616736,-0.02581753853520563,"(1.24, 1.34)",cit_rel_all_IAC,avg_citations_Q10
-0.05523619369049626,-0.03423434698470118,0.07636616810164187,-0.07094596407327813,-0.09832397654869263,-0.10710828784837978,-0.011650118401046461,"(1.34, 1.43)",cit_rel_all_IAC,avg_citations_Q10
-0.030341226964697876,-0.04684228355305886,0.04849422908909706,-0.10518953049656399,-0.1312184538625384,-0.10060733428616786,-0.05416270166943016,"(1.43, 1.54)",cit_rel_all_IAC,avg_citations_Q10
-0.06418163019655043,-0.016574060669705903,-0.027156776307763697,-0.11687302676646683,-0.12855654071065792,-0.14058108769467936,-0.08402138302850015,"(1.54, 1.59)",cit_rel_all_IAC,avg_citations_Q10
-0.0791375108299287,-0.020247883656957177,0.04408221768748555,-0.13008204256291722,-0.17881753343703455,-0.1637413262997114,-0.08480261675057243,"(1.59, 1.66)",cit_rel_all_IAC,avg_citations_Q10
-0.03217341557552433,-0.011193363524629407,0.01850963860327104,-0.115302138383369,-0.10344026787302762,-0.1490444585372096,-0.024042423585975303,"(1.66, 1.81)",cit_rel_all_IAC,avg_citations_Q10
-0.0547910925509667,-0.008860433345276308,0.005935156224490035,-0.1254972086677114,-0.193363039530275,-0.16125137914527077,-0.1476725805868293,"(1.82, 1.91)",cit_rel_all_IAC,avg_citations_Q10
-0.03891654119117982,-0.03301904558278512,0.0049960653674683275,-0.13379612362517856,-0.19725768451428316,-0.1508913287434115,-0.03753846094253044,"(1.91, 2.15)",cit_rel_all_IAC,avg_citations_Q10
-0.024744555647438382,-0.005585716222821557,0.08163585452475397,-0.15643567983958695,-0.21925610973858767,-0.15846542572550548,-0.07178385922169372,"(2.17, 4.07)",cit_rel_all_IAC,avg_citations_Q10
-0.01017751935860356,-0.014602737598979343,0.07132020447987242,-0.0311456930928663,-0.0396551840063224,-0.0504230430677195,0.03416803099314958,not_top,FIR_2,usnr_rank_cat
-0.0076041802339277265,-0.01038743531050279,0.05912604737511096,-0.050176648162453485,-0.055325061027682865,-0.06117390953586932,0.011491613126455746,top_100,FIR_2,usnr_rank_cat
0.008962516364428463,-0.018321046034326605,0.044276995731264535,-0.09547269065734343,-0.1003127805240277,-0.10595357205066691,-0.008431001978517427,top_10,FIR_2,usnr_rank_cat
-0.013389036723545189,-0.018848405280200486,0.09597702374665706,-0.026009943945638936,-0.03603317915821447,-0.055586692711684704,0.047382172045848714,inclusive,FIR_2,selindex
-0.005163484098412052,-0.016325073529383838,0.06133277058768227,-0.03751863291845969,-0.03783904300006358,-0.05468436568691215,0.03176459830900158,selective,FIR_2,selindex
-0.009082232950958224,-0.017326962680709546,0.05625661067734833,-0.06279204401864136,-0.07236395636280946,-0.07621179554236412,0.00835869952249757,more_selective,FIR_2,selindex
-0.001421469216171145,-0.00999382090926515,0.08613024773187394,-0.03033370758013665,-0.03100072651390562,-0.04785281513539463,0.04926493062974502,"(0.1, 1.47)",FIR_2,avg_citations_Q
-0.01934630149256311,-0.007574233804320429,0.04741927020756975,-0.04845846768117823,-0.05766110830053284,-0.05714584766148345,0.010583167888159162,"(1.48, 1.74)",FIR_2,avg_citations_Q
0.0005249308181640711,-0.015210143245812824,0.056569873961946904,-0.08269334164799513,-0.09220901492110378,-0.09493696053130107,-0.008847056190900204,"(1.77, 4.07)",FIR_2,avg_citations_Q
0.0037157087679007272,-0.010665235959068542,0.09575160109236025,-0.026020673524305482,-0.0364242062839939,-0.04323911135254277,0.05781676819922943,"(0.1, 1.24)",FIR_2,avg_citations_Q10
-0.014557995790603906,-0.0019290074319784356,0.08225388974134673,-0.023022609763097335,-0.014844874325734003,-0.03423356498090646,0.05097021196789009,"(1.24, 1.34)",FIR_2,avg_citations_Q10
0.003443347509999084,-0.01263631553740685,0.07539281781232887,-0.03843593011225099,-0.03640137398929277,-0.05959928914143919,0.03650708983948858,"(1.34, 1.43)",FIR_2,avg_citations_Q10
